Query InputSize Strategy Slice Ondisk MemoryLimit Run PID %cpu %mem vsz rss
q1 1 strategy1 no_slice True 32768 RUN1 87368 0.0 0.0 33588184 12
q1 1 strategy1 no_slice True 32768 RUN2 87386 0.0 0.0 33591616 92
q1 1 strategy1 no_slice True 32768 RUN3 87403 0.4 0.0 33591616 104
q1 1 strategy1 no_slice True 16384 RUN1 87422 0.0 0.0 33591616 104
q1 1 strategy1 no_slice True 16384 RUN2 87439 0.0 0.0 33591616 104
q1 1 strategy1 no_slice True 16384 RUN3 87457 0.0 0.0 33591616 104
q1 1 strategy1 no_slice True 8192 RUN1 87474 0.0 0.0 33591616 104
q1 1 strategy1 no_slice True 8192 RUN2 87491 0.0 0.0 33591616 104
q1 1 strategy1 no_slice True 8192 RUN3 87508 0.0 0.0 33591752 104
q1 1 strategy1 no_slice True 32768 RUN1 87528 0.0 0.0 33591616 104
q1 1 strategy1 no_slice True 32768 RUN2 87545 0.0 0.0 33591616 104
q1 1 strategy1 no_slice True 32768 RUN1 87565 0.0 0.0 33591616 104
q1 1 strategy1 no_slice True 32768 RUN1 87565 7.5 0.0 34432888 2376
q1 1 strategy1 no_slice True 32768 RUN1 87565 2.7 0.0 34434212 6052
q1 1 strategy1 no_slice True 32768 RUN1 87565 15.5 0.1 70118068 23568
q1 1 strategy1 no_slice True 32768 RUN1 87565 85.1 0.2 70262688 57268
q1 1 strategy1 no_slice True 32768 RUN1 87565 107.0 0.2 70395808 70760
q1 1 strategy1 no_slice True 32768 RUN1 87565 124.3 0.3 70530976 84992
q1 1 strategy1 no_slice True 32768 RUN1 87565 163.9 0.3 70541300 107388
q1 1 strategy1 no_slice True 32768 RUN1 87565 153.2 0.3 70545396 113844
q1 1 strategy1 no_slice True 32768 RUN1 87565 162.6 0.4 70548564 134248
q1 1 strategy1 no_slice True 32768 RUN1 87565 110.7 0.4 70564924 136804
q1 1 strategy1 no_slice True 32768 RUN1 87565 58.3 0.4 70597692 137464
q1 1 strategy1 no_slice True 32768 RUN1 87565 27.8 0.4 70630460 137580
q1 1 strategy1 no_slice True 32768 RUN1 87565 19.5 0.4 70663228 137608
q1 1 strategy1 no_slice True 32768 RUN1 87565 13.8 0.4 70695996 137736
q1 1 strategy1 no_slice True 32768 RUN1 87565 13.2 0.4 70728764 137808
q1 1 strategy1 no_slice True 32768 RUN1 87565 14.2 0.4 70745148 138716
q1 1 strategy1 no_slice True 32768 RUN1 87565 227.0 0.8 70749268 261140
q1 1 strategy1 no_slice True 32768 RUN1 87565 179.4 1.2 70749268 388176
q1 1 strategy1 no_slice True 32768 RUN1 87565 61.1 1.2 70748232 388172
q1 1 strategy1 no_slice True 32768 RUN1 87565 22.7 1.2 70747196 388380
q1 1 strategy1 no_slice True 32768 RUN1 87565 28.5 1.2 70744088 392820
q1 1 strategy1 no_slice True 32768 RUN2 87676 0.0 0.0 33591616 104
q1 1 strategy1 no_slice True 32768 RUN2 87676 34.7 0.2 70124448 54304
q1 1 strategy1 no_slice True 32768 RUN2 87676 130.8 0.2 70390688 77676
q1 1 strategy1 no_slice True 32768 RUN2 87676 202.7 0.3 70541300 107696
q1 1 strategy1 no_slice True 32768 RUN2 87676 220.8 0.4 70548564 134736
q1 1 strategy1 no_slice True 32768 RUN2 87676 136.0 0.4 70564924 137764
q1 1 strategy1 no_slice True 32768 RUN2 87676 67.8 0.4 70597692 137940
q1 1 strategy1 no_slice True 32768 RUN2 87676 32.6 0.4 70630460 138056
q1 1 strategy1 no_slice True 32768 RUN2 87676 18.6 0.4 70663228 138084
q1 1 strategy1 no_slice True 32768 RUN2 87676 16.3 0.4 70695996 138200
q1 1 strategy1 no_slice True 32768 RUN2 87676 11.8 0.4 70728764 138264
q1 1 strategy1 no_slice True 32768 RUN2 87676 12.2 0.4 70745148 138440
q1 1 strategy1 no_slice True 32768 RUN2 87676 197.0 0.6 70749268 198468
q1 1 strategy1 no_slice True 32768 RUN2 87676 243.5 1.2 70749268 398780
q1 1 strategy1 no_slice True 32768 RUN2 87676 95.4 1.2 70749268 398796
q1 1 strategy1 no_slice True 32768 RUN2 87676 45.5 1.2 70748232 399000
q1 1 strategy1 no_slice True 32768 RUN2 87676 16.6 1.2 70747196 398988
q1 1 strategy1 no_slice True 32768 RUN2 87676 0.0 0.0 0 0
q1 1 strategy1 no_slice True 32768 RUN3 87762 0.0 0.0 33595716 104
q1 1 strategy1 no_slice True 32768 RUN3 87762 54.8 0.2 70525856 51456
q1 1 strategy1 no_slice True 32768 RUN3 87762 151.8 0.2 70527904 75596
q1 1 strategy1 no_slice True 32768 RUN3 87762 163.5 0.3 70541300 102044
q1 1 strategy1 no_slice True 32768 RUN3 87762 227.2 0.3 70547444 115452
q1 1 strategy1 no_slice True 32768 RUN3 87762 221.4 0.4 70566996 141328
q1 1 strategy1 no_slice True 32768 RUN3 87762 97.8 0.4 70599764 142068
q1 1 strategy1 no_slice True 32768 RUN3 87762 33.1 0.4 70630460 142136
q1 1 strategy1 no_slice True 32768 RUN3 87762 23.4 0.4 70663228 142168
q1 1 strategy1 no_slice True 32768 RUN3 87762 16.8 0.4 70695996 142296
q1 1 strategy1 no_slice True 32768 RUN3 87762 13.0 0.4 70728764 142356
q1 1 strategy1 no_slice True 32768 RUN3 87762 12.2 0.4 70745148 142924
q1 1 strategy1 no_slice True 32768 RUN3 87762 231.7 0.8 70749268 258388
q1 1 strategy1 no_slice True 32768 RUN3 87762 192.8 1.2 70749268 392096
q1 1 strategy1 no_slice True 32768 RUN3 87762 74.3 1.2 70749268 392108
q1 1 strategy1 no_slice True 32768 RUN3 87762 20.9 1.2 70747196 392272
q1 1 strategy1 no_slice True 32768 RUN3 87762 0.0 0.0 0 0
q1 1 strategy1 no_slice True 16384 RUN1 87845 0.0 0.0 33591616 92
q1 1 strategy1 no_slice True 16384 RUN1 87845 23.0 0.2 53912480 53840
q1 1 strategy1 no_slice True 16384 RUN1 87845 127.2 0.2 54045600 75540
q1 1 strategy1 no_slice True 16384 RUN1 87845 187.8 0.3 54190068 100444
q1 1 strategy1 no_slice True 16384 RUN1 87845 252.5 0.4 54195200 132648
q1 1 strategy1 no_slice True 16384 RUN1 87845 153.5 0.4 54211644 136336
q1 1 strategy1 no_slice True 16384 RUN1 87845 77.6 0.4 54244412 136844
q1 1 strategy1 no_slice True 16384 RUN1 87845 35.9 0.4 54277180 136904
q1 1 strategy1 no_slice True 16384 RUN1 87845 19.5 0.4 54309948 136932
q1 1 strategy1 no_slice True 16384 RUN1 87845 15.2 0.4 54326332 137052
q1 1 strategy1 no_slice True 16384 RUN1 87845 11.6 0.4 54359100 137084
