Dataset,Processor,,Query,,,,,,,,,,,,,,,,,
,Cache,Name,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
GTFS-SQL-50,Warm,Morph-RDB,108.42,4.91,E,2.08,W,1.75,1.97,E,W,1.89,E,2.29,3.69,22.55,8.27,E,5.56,E
,Cold,Ontario,TO,E,TO,E,E,E,E,W,E,E,E,E,E,W,E,E,W,E
,,Morph-RDB,121.31,6.01,E,2.68,W,2.31,2.63,E,W,2.59,E,2.91,4.54,27.02,10.00,E,6.89,E
,,Ontop,119.89,6.92,6.61,E,W,E,W,E,W,E,E,E,6.05,15.69,W,W,7.31,W
GTFS-MongoDB-50,Warm,Morph-xR2RML,W,W,W,W,W,W,W,W,W,W,W,W,W,TO,W,W,TO,W
,Cold,Morph-xR2RML,W,W,W,W,W,W,W,W,W,W,W,W,W,TO,W,W,TO,W
GTFS-CSV-50,Cold,Morph-RDB,128.40,22.17,E,19.85,E,19.60,TO,E,TO,351.23,E,TO,"1,039.29",E,E,E,TO,W
,,Morph-CSV,575.15,449.54,E,442.60,E,436.06,W,E,TO,444.84,E,443.12,447.74,E,E,E,443.47,W
,,Ontario,W,E,35.16,E,E,E,E,W,E,E,E,E,E,W,E,E,E,E
GTFS-XML-50,Cold,Ontario,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
GTFS-JSON-50,Cold,Ontario,W,E,23.74,E,E,E,E,W,E,E,E,E,E,W,E,E,E,E
GTFS-B-50,Cold,Ontario,W,E,23.74,E,E,E,E,W,E,E,E,E,E,W,E,E,E,E
GTFS-W-50,Cold,Ontario,W,E,23.74,E,E,E,E,W,E,E,E,E,E,W,E,E,E,E
GTFS-R-50,Cold,Ontario,W,E,TO,E,E,E,E,W,E,E,E,E,E,W,E,E,E,E
