,,,queries,,,,,,,,,,,,,,,,,
Dataset,Source,Tool,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
GTFS-10,SQL,Ontario,353660,-,- ,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,,Morph-RDB,353660,6312,- ,130,700,1,67,-,-,1,-,130,2650,22340,8641,-,8550,-
,,Ontop,353660,6312,4207,-,0,-,0,-,0,-,-,-,2650,22340,8521,0,8550,0
,MongoDB,Morph-xR2RML,0,0,0,0,0,0,0,0,0,0,1292,0,0,11348,0,0,5508,0
,CSV,Morph-RDB,353660,6312,-,130,-,1,-,-,-,1,-,-,2650,0,0,-,8550,-
,,Morph-CSV,353660,12620,-,130,-,1,0,-,0,1,-,130,2650,-,-,-,8550,0
,,Ontario,0,-,4207,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,XML,Ontario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,JSON,Ontario,0,-,4207,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Best,Ontario,0,-,4207,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Worst,Ontario,0,-,4207,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Random,Ontario,0,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,BaseLine,Virtuoso,353660,6312,4207,130,350,1,67,47280,718317,1,1300,130,2650,22340,8641,1820,8550,1300
