,,,queries,,,,,,,,,,,,,,,,,
Dataset,Source,Tool,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
GTFS-1,SQL,Ontario,-,-,- ,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,,Morph-RDB,1768300,31550,- ,650,3500,1,59,-,-,1,-,650,13250,111700,21958,-,42750,-
,,Ontop,1768300,31550,21034,-,0,-,0,-,0,-,-,-,13250,111700,17537,0,42750,0
,MogoDB,Morph-xR2RML,0,0,0,0,0,0,0,0,0,0,5058,0,0,-,0,0,-,0
,CSV,Morph-RDB,1768300,31550,-,650,-,1,-,-,-,1,-,-,1325,0,0,-,-,-
,,Morph-CSV,1768300,63100,-,650,-,1,0,-,0,1,-,650,13250,-,-,-,42750,0
,,Ontario,0,-,21034,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,XML,Ontario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,JSON,Ontario,0,-,21034,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Best,Ontario,0,-,21034,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Worst,Ontario,0,-,21034,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Random,Ontario,0,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,BaseLine,Virtuoso,1768300,31550,21034,650,1750,1,59,236400,3591503,1,6500,650,13250,111700,21958,2730,42750,6500
