,,,queries,,,,,,,,,,,,,,,,,
Dataset,Source,Tool,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
GTFS-500,SQL,Ontario,-,-,- ,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,,Morph-RDB,-,315499,- ,6500,35000,1,53,-,-,1,-,6500,132500,1117000,38749,-,427500,-
,,Ontop,0,315499,210334,-,0,-,0,-,0,-,-,-,132500,1117000,34323,0,427500,0
,MongoDB,Morph-xR2RML,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0
,CSV,Morph-RDB,-,-,-,-,-,1,-,-,-,1,-,-,-,0,0,-,-,-
,,Morph-CSV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ontario,0,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,XML,Ontario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,JSON,Ontario,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Best,Ontario,0,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Worst,Ontario,0,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Random,Ontario,0,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,BaseLine,Virtuoso,17683000,315499,210334,6500,17500,1,53,2364000,35919991,1,65000,6500,132500,1117000,38749,2340,427500,65000
