,,,queries,,,,,,,,,,,,,,,,,
Dataset,Source,Tool,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
GTFS-1,SQL,Ontario,-,-,- ,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,,Morph-RDB,3536600,63100,- ,1300,7000,1,67,-,-,1,-,1300,26500,223400,35502,-,85500,-
,,Ontop,3536600,63100,42067,-,0,-,0,-,0,-,-,-,26500,223400,31080,0,85500,0
,MongoDB,Morph-xR2RML,0,0,0,0,0,0,0,0,0,0,10336,0,0,-,0,0,-,0
,CSV,Morph-RDB,-,63100,-,1300,-,1,-,-,-,1,-,-,-,0,0,-,-,-
,,Morph-CSV,3536600,126200,-,1300,-,1,0,-,-,1,-,1300,26500,-,-,-,85500,0
,,Ontario,0,-,42067,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,XML,Ontario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,JSON,Ontario,0,-,42067,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Best,Ontario,0,-,42067,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Worst,Ontario,0,-,42067,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Random,Ontario,0,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,BaseLine,Virtuoso,3536600,63100,42067,1300,3500,1,67,472800,7183874,1,13000,1300,26500,223400,35502,1690,85500,13000
