,,,queries,,,,,,,,,,,,,,,,,
Dataset,Source,Tool,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
GTFS-1,SQL,Ontario,58540,-,- ,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,,Morph-RDB,58540,765,- ,13,84,1,2,-,151439,1,-,6,734,2234,26,-,855,-
,,Ontop,58540,765,734,-,0,-,0,-,151439,-,-,-,734,2234,26,0,855,0
,MongoDB,Morph-xR2RML,0,0,0,0,0,0,0,0,0,0,0,0,0,2364,0,0,855,0
,CSV,Morph-RDB,58540,765,-,13,-,1,-,-,-,1,-,6,734,0,0,-,855,-
,,Morph-CSV,58540,765,-,13,-,1,2,-,151439,1,-,6,734,-,-,-,855,128
,,Ontario,0,-,734,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,XML,Ontario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,JSON,Ontario,58540,-,734,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Best,Ontario,0,-,734,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Worst,Ontario,0,-,734,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Random,Ontario,0,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,BaseLine,Virtuoso,58540,765,734,13,28,1,2,4728,151439,1,130,6,734,2364,26,34,855,64
